項目,數據,判讀
主要業務,光纖被動元件 / CPO共封裝光學 / LPO / FAU(矽光子連接器) / 矽光子高階封裝,AI光通訊題材核心、未來性強
2025全年營收,約18.92億元,規模中小
2025全年EPS,0.16元,幾乎不賺錢(微利)
2025Q4 EPS,約-0.21~-0.22元(歸母淨損約2200萬),單季已由盈轉虧
2026Q1 EPS,-0.98元(虧損約1.01億),大幅虧損、公司稱泰國廠設備延遲為低點
2026年3月自結,淨損約1500萬、EPS約-0.12,較去年同期由盈轉虧
近月營收,2026/04約1.28億、年減約37%、前4月累計年減約17%,近期營收明顯衰退
股價,約804元,高價股
股價淨值比PBR,約23倍,極度偏高、估值河流圖落在紅色(偏貴)區間
本益比PER,近乎無獲利/虧損中,無法用本益比評估、股價靠題材與夢
資本動作,與奇景(Himax)私募5.22億、另擬再私募萬張,增資稀釋股本、反映需外部資金支應燒錢佈局
公司/法人展望,Q1為低點、Q2營收季增、H2交付1.6T FAU、CPO量產線2025Q4~2026Q4完成,屬「未來預期」、尚待實際兌現
