編號,面向,提升目標,衡量標準,Willson 需改善的點,我要帶他做的事,查核頻率,完成時程
1-1,英文能力,兩年內多益達到 700 分,多益官方成績單 700 分以上,目前分數不足以獨立處理英文書信與國外客戶溝通,先安排一次模擬測驗抓出基準分數與弱項(聽力/閱讀),一次,2026 Q3
1-2,英文能力,建立每日固定讀書節奏,每週累積讀書時數 5 小時以上並回報,學習容易中斷、沒有固定節奏,協助排定每日 30-45 分鐘的固定時段、選定一套教材、我每月抽問進度,每月,持續(2026 Q3 起)
1-3,英文能力,補強商務書信英文,能獨立擬 80% 的例行對外英文信件,英文信件目前多需他人代筆或大幅修改,整理公司常用信件範本(詢價/交期/品質異常/催貨)讓他仿寫、我批改前三個月每一封,每週,2027 Q1
1-4,英文能力,第一次正式應考,取得 550-600 分的中繼成績,尚未有正式應考經驗,報名考試並事前做兩回全真模擬、考後一起檢討錯題方向,一次,2027 Q2
1-5,英文能力,達標並驗收,多益 700 分達成,-,若中繼成績未達 600 分則調整教材與加強科目後再考,一次,2028 Q2
2-1,情緒控管,降低情緒波動幅度,單季無因情緒導致的對外衝突事件,遇到突發狀況時語氣與表情變化明顯、旁人感受得到,先讓他自己記錄「情緒事件日誌」:什麼事、當下反應、事後回想該怎麼做,每週,2026 Q4
2-2,情緒控管,不讓情緒影響判斷,重大決策一律隔夜或隔半天再回覆,急事當下容易做出情緒性決定,建立「先不回、先確認、再回應」的三步習慣、我示範幾次給他看,即時,持續
2-3,情緒控管,對外應對維持一致,供應商/同仁回饋無負面反映,對外壓力大時容易把情緒帶到電話與信件裡,約定「情緒高點不打電話、不發信」、由我先看過措辭較重的信件,即時,2027 Q1
2-4,情緒控管,建立事後復盤習慣,每月一次一對一復盤,發生後少有自我檢討,每月固定一次一對一、只談情境不談對錯、逐步讓他自己講出改善點,每月,持續
3-1,供應商應對與交流,建立正確的供應商觀念,能自己講清楚「長期關係經營」的意義,把供應商往來理解成單純下單與比價,用實際案例告訴他:哪些廠在我們最急的時候幫過忙、當初是怎麼累積出來的,每月,2026 Q4
3-2,供應商應對與交流,學會談判與溝通的分寸,能獨立主談 3 件以上例行議價或交期協調,不清楚什麼可以談、什麼不能碰,先讓他跟著我開會只聽不講、再讓他開口、最後放手讓他主談我在旁邊,每次會議,2027 Q2
3-3,供應商應對與交流,知道哪些地方要特別留意,能列出自己的供應商風險檢查清單,對付款條件/交期承諾/品質責任歸屬的敏感度不足,整理成書面重點:報價陷阱、口頭承諾要補書面、異常時的責任界線、換供應商的成本,每月,2027 Q1
3-4,供應商應對與交流,異常處理能力,獨立處理 2 件以上品質或交期異常,遇到異常容易情緒化或直接對立,教他異常處理三步:先釐清事實、再談責任、最後談補救、態度上留餘地,每次事件,2027 Q3
4-1,染廠/織廠人脈交接,人脈盤點,完成全部合作廠的清單與分級,尚未掌握完整名單,我先列出所有染廠與織廠、標註 A/B/C 重要度與目前往來狀況,一次,2026 Q3
4-2,染廠/織廠人脈交接,建立每廠的檔案,每家廠都有一頁書面紀錄,只知道公司名不知道背後的歷史,逐廠交代:合作歷史、過去的糾紛與化解、對方老闆與窗口的個性偏好、價格與交期的底線,每月 2-3 家,2027 Q2
4-3,染廠/織廠人脈交接,實地拜訪與引介,A 級廠 100% 完成當面引介,對方還不認識他,親自帶他去拜訪、當面介紹給關鍵窗口、明確表達「以後由他負責」,每季 3-4 家,2027 Q4
4-4,染廠/織廠人脈交接,交代眉角,能自己說出每家廠的地雷與禁忌,不知道各廠的潛規則,把不會寫在合約上的部分講清楚:誰能催誰不能催、什麼時候不要去、旺季排單怎麼講,每月,2027 Q4
4-5,染廠/織廠人脈交接,逐步移交主導權,B/C 級廠由他為主要窗口,目前仍由我主導,先讓他 CC 所有往來信件、再讓他當主窗口我備援、最後我退到二線,每季,2028 Q1
4-6,染廠/織廠人脈交接,維繫關係的習慣,每家 A 級廠每季至少一次主動聯繫,只有有事才聯絡,教他建立聯繫節奏:沒事也要問候、年節拜訪、對方有狀況時主動關心,每季,持續
5-1,專業素養,問題判斷能力,能自行判斷 80% 的例行問題該找誰處理,遇到問題先問人而不是先判斷,要求他提問時要附「我認為問題出在哪、我打算怎麼做」再來找我,即時,2027 Q1
5-2,專業素養,問題解決能力,獨立結案 5 件以上跨部門問題,習慣把問題往上丟,指派他當窗口負責追到底、我只在關鍵點介入,每月,2027 Q4
5-3,專業素養,製程知識-織造,能看懂織物規格並判斷合理性,對織造參數理解不足,安排織廠現場學習、逐項講解紗支/密度/幅寬/克重與成本的關係,每月,2027 Q2
5-4,專業素養,製程知識-染整,能判斷色差與品質異常的成因,對染整流程與常見問題不熟,帶他看實際的染整流程、講解色差/縮率/色牢度的常見原因與處理方式,每月,2027 Q4
5-5,專業素養,知識沉澱,完成個人製程筆記並可供他人參考,學過的東西沒有整理,要求把每次學到的重點寫成筆記、每季我看一次並補充,每季,2028 Q1
