類別,代號名稱,產業/題材,類型,市值規模,風險等級,與現有持股重疊,殖利率(待查),本益比(待查),月營收趨勢(待查),我的評等,建議動作,簡評
候選買進,2317鴻海,EMS代工/AI伺服器,權值成長+配息,超大型(權值),中低,高(科技),待查,待查,待查,★★★★,可換股進場,四檔品質最佳、AI題材+估值低+有息、但加重科技權重宜用換股非加碼
候選買進,2303聯電,成熟製程晶圓代工,高息價值/景氣循環,大型(權值),中,高(半導體),待查,待查,待查,★★★,可收息但留意,殖利率高且便宜、但成熟製程殺價競爭成長有限、與半導體部位重疊
候選買進,2233宇隆,精密金屬加工/汽車零組件,傳產價值,中小型,中,低,待查,待查,待查,★★☆,普通可觀察,傳產精密、受車市景氣影響、無明顯比現有持股更優的理由
候選買進,4426上銓,光通訊被動元件,小型題材投機,小型(櫃買),高,高(與光聖同題材),待查,待查,待查,★★,不建議再加,與光聖同題材重複押注、小型波動大流動性差、只宜極小部位
候選買進,2049上銀,線性傳動/滾珠螺桿/工業機器人,工業自動化成長+景氣循環,中大型,中高(循環),低,待查,待查,待查,★★★,好公司但看時機,自動化龍頭題材佳、但強景氣循環+估值常偏高、宜在工具機/資本支出循環低點分批買
候選買進,5439高技,軟性電路板/電子零組件(待查證主業),小型零組件,小型,高,低,待查,待查,待查,★★,資料有限宜謹慎,小型股波動大、主業與獲利請先查證、無突出加分理由
候選買進,2489瑞軒,電視ODM代工/顯示器,低毛利傳產電子,中小型,中高,中(電子代工),待查,待查,待查,★★,普通偏弱不建議,電視代工毛利薄競爭激烈、題材有限、性質類似鴻海但體質更弱無優勢
現有續抱,6442光聖,光通訊/光纖,飆股(已+375%),小型,高,-,待查,待查,待查,續抱,維持小部位,已大賺且僅佔0.6%、可讓獲利續跑、設移動停利
待汰換,6756威鋒電子,IC設計,深套-59%,中型,高,高(科技),-,-,衰退?,優先處理,套牢31539、高基期套牢、營收動能未回宜評估停損換股
待汰換,9906欣巴巴,小型內需,深套-58%,小型,高,低,-,-,弱,優先處理,套牢25300、小型流動性低、轉機不明
待汰換,6533晶心科,CPU IP,深套-41%,中型,高,高(科技),-,-,待查,優先處理,套牢21734、高基期、看授權營收是否兌現
待汰換,6641基士德-KY,環保設備(中概),深套-59%,小型,高(KY),低,-,-,弱,優先處理,套牢5342、KY+中概財務疑慮、最該先確認體質
待汰換,5533皇鼎,小型股,深套-43%,小型,高,低,-,-,弱,可整併,套牢1068、部位極小對績效無感、可整併釋出現金
待汰換,1442名軒,營建,深套-54%,小型,高,低,-,-,循環,可整併,套牢6476、營建景氣循環、波動大
