年份,職務／事件,內容說明,資料來源,確信度
—,姓名表記,"日文漢字：國井 圭浩（亦寫作 国井 圭浩）；羅馬拼音：Yoshihiro Kunii",FR官方IR簡報／日經人物索引,高
2013/05,グループ上席執行役員・生產統括責任者,"2013/5/2 迅銷（Fast Retailing）公告集團經營體制，國井圭浩列名集團上席執行役員，負責生產統括（生産統括責任者）",FR IR 2013/5/2「ファーストリテイリンググループ経営体制について」,高
2013/11,集團經營體制再公告,"2013/11/5 FR 再度公告集團經營體制；國井是否於此次異動未能確認",FR IR 2013/11/5 公告,低（僅確認公告存在）
2014,UNIQLO 副社長（兼任）,"多個役員資料庫記載其於此期間兼任株式會社ユニクロ副社長，同時保有FR集團上席執行役員身分",buffett-code 役員資料／社長・役員の経歴,中
生產統括期間,海外擴張期的生產管理體制,"UNIQLO海外展店擴張、生產量大增期間負責生產統括。生產辦公室設於上海、胡志明市、達卡、雅加達、班加羅爾，配置「匠」團隊每週巡廠，於現場解決品質與生產進度問題",日經 RetailTech Japan 生產責任者專訪報導,中
年份不詳,グループ上席執行役員・MD（商品企劃）擔當,"以「集團上席執行役員 マーチャンダイジング(MD)擔當」身分接受 JAC Recruitment 企業採訪；判斷生產統括之後或期間曾轉任／兼任MD擔當",JAC Recruitment 企業採訪頁,中（年份無法確認）
2017/09/22,上席執行役員（HEATTECH 發表會）,"FR 官方IR簡報檔名為『2017年ヒートテックについて 株式會社ファーストリテイリング 上席執行役員 國井 圭浩』，為職稱的一手佐證",FR官方IR PDF presen170922_UQ-HEATTECH_jp.pdf,高（一手資料）
2017,HEATTECH 15週年／累計約10億件,"代表公司對外說明與東レ共同開發的HEATTECH：2003年上市後累計銷售約10億件；歷經逾100次試作、逾1萬件樣衣改良。其發言「這是史上最舒適的HEATTECH」見於當年報導",日經新聞 2017/09／WWDJAPAN,高
2018,對外代表生產／商品說明,"2018年前後仍以FR集團上席執行役員身分對外說明HEATTECH與生產相關議題",WWDJAPAN 等報導,中
2020以後,現況未確認,"公開檢索無法確認其2020年之後的職務、是否退任及退任時點；FR官方現任執行役員名單未能存取比對",—,低（待查）
註記,英文資料庫的混淆,"部分英文人物資料庫（MarketScreener／theofficialboard 等）在 Yoshihiro Kunii 條目下混入另一人的經歷（ThroughPut Inc.、MassChallenge、Harvard MBA、Fast Retailing France／Princesse tam.tam 等），與日文一手資料不符，本表未採用",交叉比對結果,高（判斷為資料污染）
資料限制,查證方法說明,"本次僅能透過搜尋結果交叉比對，網路政策阻擋直接讀取 fastretailing.com、日經、一橋大學等原始頁面全文；生年、學歷、入社年、前職等基本資料均未取得，需再查證",—,—
