類別,項目,具體做法
心態,別恐慌殺在最低,開盤瞬間的恐慌殺盤常是短期低點、殺在那裡往往最虧
心態,別急著抄底接刀,跌勢中分批、見止穩訊號再進、勿一次all in
心態,先確認你的處境,滿倉無現金→重防守降風險；有現金→找布局機會
持股_優質續抱,鴻海/台積電/市值ETF/高股息ETF,基本面沒變、不必砍、可逢深跌分批加碼
持股_防禦抗跌,中華電/高股息ETF/債券,相對抗跌、穩住續抱
持股_高風險題材股,上詮(虧損)/光聖/高PE小型股,通常殺最兇、嚴設停損、反彈不追、可考慮趁亂減碼
持股_融資槓桿,有融資者,留意融資追繳/斷頭、先降槓桿避免被強制賣在低點
有現金_資金節奏,分批承接,把可投資金分3~4批、保留子彈應對續跌
有現金_首選,鴻海2317(前瞻PE約16、AI成長、估值合理),逢深跌分批建立核心部位、設定承接價區
有現金_次選,0050/006208/高股息ETF,大跌時加碼最穩、自動分散、不必選股
有現金_暫觀望,強茂(PE約32偏高)/小型題材股,等估值修正到更合理或止穩訊號再考慮
風控_承接價,設定分批價位,例如自高點跌約5%/10%/15%各進一批、紀律執行
風控_停損,高風險投機股設停損,跌破關鍵價/停損點就執行、別凹單
風控_留現金,別一次用完,永遠留一部分現金、空間換時間
觀察_止穩訊號,等訊號再加碼,量縮止跌、跌深反彈站回均線、外資由賣轉買、融資斷頭洗清
備註,融資斷頭殺盤,新聞指台股融資高、外資空單高、斷頭殺盤常製造短期超跌低點(風險也是機會)
